Gene	Priority
ENSG00000197299	6
ENSG00000158006	6
ENSG00000140379	6
ENSG00000103811	6
ENSG00000103855	6
ENSG00000100450	6
ENSG00000125810	6
ENSG00000185627	6
ENSG00000204435	6
ENSG00000054219	6
ENSG00000204469	6
ENSG00000163701	6
ENSG00000163702	6
ENSG00000134853	6
CD70	6
ENSG00000126067	6
ENSG00000079277	6
ENSG00000174123	6
SECTM1	6
ENSG00000167768	6
ENSG00000183625	6
ENSG00000124731	6
ENSG00000156711	6
ENSG00000173585	6
ENSG00000150045	6
ENSG00000186579	6
ENSG00000066336	6
ENSG00000163661	6
ENSG00000109101	6
ENSG00000113140	6
ENSG00000105371	6
ENSG00000100902	6
ENSG00000101182	6
ENSG00000143106	6
ENSG00000163606	6
ENSG00000107643	6
ENSG00000167996	6
ENSG00000080910	6
ENSG00000116785	6
ENSG00000106799	6
ENSG00000185652	6
ENSG00000134365	6
MCAM	6
ENSG00000088812	6
ENSG00000160683	6
ENSG00000115165	6
ENSG00000160999	6
ENSG00000134256	6
ENSG00000187608	6
KIR2DL5A	6
ENSG00000100393	6
BDKRB1	6
ENSG00000198734	6
ENSG00000197894	6
ENSG00000137265	6
ENSG00000240053	6
ENSG00000145861	6
ENSG00000118523	6
ENSG00000137080	6
ENSG00000082196	6
ENSG00000172183	6
ENSG00000142507	6
ENSG00000277791	6
ENSG00000105246	6
ENSG00000070831	6
ENSG00000012048	6
ENSG00000092969	6
ENSG00000204580	6
ENSG00000125148	6
ENSG00000073849	6
ENSG00000109079	6
ENSG00000160339	6
ENSG00000136697	6
ENSG00000119866	6
JUND	6
ENSG00000108344	6
ENSG00000175166	6
ENSG00000126934	6
ENSG00000002330	6
ENSG00000132965	6
ENSG00000159921	6
ENSG00000137331	6
ENSG00000167775	6
ENSG00000082074	6
ENSG00000196230	6
ENSG00000164509	6
ENSG00000275023	6
ENSG00000163519	6
ENSG00000106927	6
ENSG00000139687	6
ENSG00000134954	6
DEFA3	6
ENSG00000090104	6
ENSG00000096006	6
ENSG00000103490	6
ENSG00000180228	6
ENSG00000013275	6
ENSG00000087191	6
ENSG00000196730	6
ENSG00000157764	6
ENSG00000197461	6
ENSG00000113580	6
ENSG00000128340	6
ITGB7	6
ENSG00000105894	6
ENSG00000132185	6
ENSG00000204475	6
IK	6
ENSG00000041982	6
ENSG00000171860	6
ENSG00000099250	6
TIAF1	6
ENSG00000137757	6
ENSG00000213809	6
POU2F2	6
ENSG00000133466	6
ENSG00000163145	6
C1QTNF4	6
ENSG00000116001	6
ENSG00000114857	6
ENSG00000116329	6
ENSG00000100985	6
ENSG00000239961	6
ENSG00000187116	6
ENSG00000180424	6
ENSG00000088827	6
ENSG00000141756	5
ENSG00000113594	5
ENSG00000173486	5
ENSG00000100442	5
ENSG00000105701	5
ENSG00000177047	5
ENSG00000132581	5
ENSG00000011600	5
ENSG00000233816	5
ENSG00000153064	5
ENSG00000186803	5
ENSG00000234829	5
ENSG00000147885	5
ENSG00000228083	5
ENSG00000090316	5
ENSG00000198053	5
ENSG00000185499	5
ENSG00000180210	5
ENSG00000256667	5
ENSG00000168398	5
ENSG00000179348	5
ENSG00000197465	5
ENSG00000204482	5
ENSG00000030110	5
ENSG00000158270	5
ENSG00000161955	5
ENSG00000181634	5
ENSG00000198910	5
ITGA7	5
ENSG00000013573	5
ENSG00000152778	5
ENSG00000105374	5
ENSG00000187474	5
ENSG00000101109	5
ENSG00000196639	5
ENSG00000150540	5
ENSG00000072571	5
ENSG00000126787	5
ENSG00000053918	5
ENSG00000136573	5
ENSG00000143341	5
ENSG00000115353	5
PLXNC1	5
ENSG00000071242	5
ENSG00000162302	5
ENSG00000125686	5
ENSG00000108671	5
ENSG00000254647	5
ENSG00000166825	5
ENSG00000110799	5
ENSG00000017797	5
ENSG00000165731	5
ENSG00000162924	5
ENSG00000110801	5
ENSG00000198646	5
ENSG00000162897	5
ENSG00000050820	5
ENSG00000165527	5
ENSG00000163220	5
ENSG00000158769	5
ENSG00000111339	5
ENSG00000062524	5
ENSG00000109943	5
